TransactionType,ExecutionMode,TransactionCount,ElapsedTime
short,serial,10,0.02
short,serial,25,0.01
short,serial,50,0.01
short,serial,100,0.02
short,serial,200,0.04
short,serial,500,0.09
short,parallel,10,0.04
short,parallel,25,0.09
short,parallel,50,0.17
short,parallel,100,0.34
short,parallel,200,0.73
short,parallel,500,2.46
long,serial,10,0.01
long,serial,25,0.03
long,serial,50,0.06
long,serial,100,0.11
long,serial,200,0.22
long,serial,500,0.49
long,parallel,10,0.05
long,parallel,25,0.10
long,parallel,50,0.20
long,parallel,100,0.40
long,parallel,200,0.77
long,parallel,500,2.44
